original_function,sequence,generated_completion_rule,generated_completion,generated_rule_matches,generated_completion_matches
"{'fn': 'lambda x: (5 * x) ** 1', 'offset': 0}","[0, 5, 10, 15]",lambda x: (2 * x) + (1 * x),20,False,True
"{'fn': 'lambda x: 3 ** (3 * x)', 'offset': 0}","[1, 27, 729, 19683, 531441, 14348907]",lambda x: (2 * x) ** (2 * x),14348908,False,False
"{'fn': 'lambda x: (5 * x) * 3', 'offset': 0}","[0, 15, 30, 45]",lambda x: (x * 4) % (4+1),60,False,True
"{'fn': 'lambda x: (5 * x) | 4', 'offset': 0}","[4, 5, 14, 15, 20, 29]",lambda x: (1 * x) + (1 * x) * (1 * x),40,False,False
"{'fn': 'lambda x: 2 ** (1 * x)', 'offset': 0}","[1, 2, 4, 8]",lambda x: (x * 2) % (1+1),16,False,True
"{'fn': 'lambda x: (3 * x) * 4', 'offset': 0}","[0, 12, 24, 36, 48, 60, 72]",lambda x: [i for i in range(100) if i % (1 + 1) or i % (1 + 1)][x],84,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 6, 28, 172, 1380, 13804, 165652]",lambda x: (2 * x) ** (2 * x),1728,False,False
"{'fn': 'lambda x: (5 * x) ** 0', 'offset': 0}","[1, 1, 1]",lambda x: (x * 1) % (0+1),1,False,True
"{'fn': 'lambda x: (5 * x) | 2', 'offset': 0}","[2, 7, 10, 15, 22, 27]",lambda x: (x * 2) % (1+1),36,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 7, 46, 418, 5020, 75304, 1355476]",lambda x: (x * 1) % (x + 1),1355477,False,False
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (2 + 1)][x]', 'offset': 0}","[1, 2, 3, 4, 5, 7]",lambda x: [i for i in range(100) if i % (3 + 1) or i % (0 + 1)][x],10,False,False
"{'fn': 'lambda x: 2 ** (0 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1]",lambda x: [i for i in range(100) if i % (1 + 1)][x],1,False,True
"{'fn': 'lambda x: (3 * x) + 4', 'offset': 0}","[4, 7, 10, 13, 16, 19]",lambda x: (1 * x) | 0,26,False,False
"{'fn': 'lambda x: (3 * x) ** 2', 'offset': 0}","[0, 9, 36]",lambda x: (3 * x) | 0,45,False,False
"{'fn': 'lambda x: (x * 1) % (0+1)', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0, 0, 0]",lambda x: (x * 0) % (1+1),0,False,True
