original_function,sequence,generated_completion_rule,generated_completion,generated_rule_matches,generated_completion_matches
"{'fn': 'lambda x: (5 * x) ** 1', 'offset': 0}","[0, 5, 10, 15, 20]",lambda x: (x * 5) * 1,25,True,True
"{'fn': 'lambda x: 3 ** (3 * x)', 'offset': 0}","[1, 27, 729, 19683, 531441]",lambda x: 3 ** (x + 1),14348907,False,True
"{'fn': 'lambda x: (5 * x) * 3', 'offset': 0}","[0, 15, 30, 45]",lambda x: 15 * x if x > 0 else 0,60,True,True
"{'fn': 'lambda x: (5 * x) | 4', 'offset': 0}","[4, 5, 14, 15, 20, 29, 30, 39, 44]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else (5 * x - 1) if x % 2 else (5 * x - 6) + fn(fn,x-1))",49,False,False
"{'fn': 'lambda x: 2 ** (1 * x)', 'offset': 0}","[1, 2, 4, 8, 16, 32, 64, 128]",lambda x: 2 ** x if x < 8 else None,256,True,True
"{'fn': 'lambda x: (3 * x) * 4', 'offset': 0}","[0, 12, 24, 36, 48, 60]",lambda x: (12 * x) + 0 if x <= 5 else None,72,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 6, 28, 172, 1380]",lambda x: (x * (x + 1) * (2 * x + 1) // 6) + (x * (x + 1) // 2) + 1,13732,False,False
"{'fn': 'lambda x: (5 * x) ** 0', 'offset': 0}","[1, 1, 1, 1, 1]",lambda x: 1,1,True,True
"{'fn': 'lambda x: (5 * x) | 2', 'offset': 0}","[2, 7, 10, 15, 22, 27, 30, 35]",lambda x: (5 * (x // 2) + 2) if x % 2 == 0 else (5 * ((x - 1) // 2) + 7),42,False,True
"{'fn': 'lambda x: 1 ** (2 * x)', 'offset': 0}","[1, 1, 1, 1, 1]",lambda x: 2 ** (0 * x) if x < 5 else 0,1,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 7, 46, 418, 5020, 75304]",lambda x: (x + 1) * (x + 6) * (x ** 2 + 7 * x + 10) // 4,1358356,False,False
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (2 + 1)][x]', 'offset': 0}","[1, 2, 3, 4, 5, 7, 8, 9]",lambda x: [i for i in range(100) if i not in [6]][x],10,False,True
"{'fn': 'lambda x: 2 ** (0 * x)', 'offset': 0}","[1, 1, 1, 1, 1]",lambda x: 1 ** (1 * x),1,True,True
"{'fn': 'lambda x: (3 * x) + 4', 'offset': 0}","[4, 7, 10, 13, 16]",lambda x: 3 * x + 1 if x % 2 else 1 * x + 1,19,False,True
"{'fn': 'lambda x: (3 * x) ** 2', 'offset': 0}","[0, 9, 36, 81, 144]",lambda x: (x ** 2) * 4 if x > 0 else 0,225,False,True
"{'fn': 'lambda x: (x * 1) % (0+1)', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0, 0, 0]",lambda x: (x * 0) % (0+1),0,False,True
"{'fn': 'lambda x: 1 ** (4 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1]",lambda x: 1 if x >= 0 else 0,1,True,True
"{'fn': 'lambda x: (5 * x) | 0', 'offset': 0}","[0, 5, 10, 15, 20]",lambda x: 5 * x,25,True,True
"{'fn': 'lambda x: (4 * x) + 4', 'offset': 0}","[4, 8, 12, 16, 20, 24, 28, 32, 36]",lambda x: (x + 1) * 4,40,False,True
"{'fn': 'lambda x: (5 * x) + 0', 'offset': 0}","[0, 5, 10, 15, 20, 25, 30, 35, 40]",lambda x: (5 * x) + 0 if x >= 0 else 0,45,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 1 * x * fn(fn,x-1) + 3)', 'offset': 0}","[1, 4, 11]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x + fn(fn,x-1) + 1)",22,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 0)', 'offset': 0}","[1, 2, 8, 48, 384, 3840, 46080]","lambda x: 2**(x*(x-1)) * [1,2][x%2]",645120,False,True
"{'fn': 'lambda x: 5 ** (1 * x)', 'offset': 0}","[1, 5, 25]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 5 * fn(fn,x-1))",125,True,True
"{'fn': 'lambda x: (5 * x) ** 3', 'offset': 0}","[0, 125, 1000, 3375, 8000, 15625, 27000]",lambda x: (x ** 3) * 5 if x >= 1 else 0,42875,False,True
"{'fn': 'lambda x: (2 * x) ** 4', 'offset': 0}","[0, 16, 256, 1296, 4096, 10000, 20736]",lambda x: (x ** 4) if x < 4 else (x ** 3) if x < 6 else (x ** 2) if x < 7 else 0,46656,False,False
"{'fn': 'lambda x: 4 ** (3 * x)', 'offset': 0}","[1, 64, 4096, 262144]",lambda x: 4 ** (2 * x - 2) if x > 0 else 1,16777216,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 1)', 'offset': 0}","[1, 5, 41, 493, 7889, 157781]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * fn(fn,x-1) ** 2 - 1)",3906265,False,False
"{'fn': 'lambda x: (x * 5) % (2+1)', 'offset': 0}","[0, 2, 1, 0]","lambda x: [0, 2, 1, 0][x % 4]",-1,True,False
"{'fn': 'lambda x: (5 * x) * 2', 'offset': 0}","[0, 10, 20, 30, 40, 50, 60]",lambda x: 10 * x,70,True,True
"{'fn': 'lambda x: 4 ** (4 * x)', 'offset': 0}","[1, 256, 65536, 16777216, 4294967296, 1099511627776, 281474976710656, 72057594037927936, 18446744073709551616]",lambda x: 2 ** (8 * x) if x < 9 else None,4722366482869645213696,False,True
"{'fn': 'lambda x: (4 * x) | 4', 'offset': 0}","[4, 4, 12, 12, 20, 20, 28]",lambda x: ((x // 2) + 1) * 8 if x % 2 == 0 else ((x // 2) + 1) * 8 - 4,"28 (the sequence seems to be repeating the same two numbers, 4 and 12, and adding 8 to each pair to get the next pair, so the next number would be 28)",False,False
