precision_compl,precision_compl,precision_expl,precision_expl,recall_compl,recall_compl,recall_expl,recall_expl
mean,std,mean,std,mean,std,mean,std
0.6018333333333333,0.22970652632281502,0.26944444444444443,0.30444688945156273,0.6018888888888889,0.1908053794064977,0.2833333333333333,0.31443488056773705
0.6482777777777778,0.19718990713807888,0.30000000000000004,0.2849148479602902,0.8148333333333333,0.24177389777860392,0.3221666666666667,0.2812182008167114
0.37033333333333335,0.12808866414461875,0.2888888888888889,0.28468535549618096,0.7222222222222222,0.2556549962824568,0.3611111111111111,0.2988759114708249
0.7315,0.2500856911963907,0.2647777777777778,0.29203616930614357,0.713,0.2412145737475978,0.2962777777777778,0.30932731675183317
0.5926666666666667,0.19163721853912344,0.2916666666666667,0.2840101489487345,0.75,0.2572478777137633,0.33516666666666667,0.296509745896766
0.4305555555555556,0.16248193464187738,0.3222222222222222,0.3153999432197262,0.7222222222222222,0.2556549962824568,0.4,0.35111402538709474
0.6111111111111112,0.2214332694299967,0.3806111111111111,0.33162702985146514,0.6203888888888889,0.21241001939614165,0.3426111111111111,0.28468602703140894
0.6759999999999999,0.23206794137011838,0.4083333333333333,0.3264109643487161,0.8055555555555556,0.25081566285227513,0.4583333333333333,0.3773943171117383
0.41194444444444445,0.14444843257440562,0.3777777777777778,0.26469862008919537,0.6666666666666666,0.242535625036333,0.48894444444444446,0.30403820816822313
0.7222222222222222,0.2619933891297878,0.4240555555555556,0.3203006808356655,0.713,0.2412145737475978,0.3870555555555556,0.262796157242525
0.6065555555555555,0.19357571013832173,0.3592777777777778,0.2586409743153069,0.7777777777777778,0.25565499628245686,0.39633333333333337,0.29924768415242287
0.398,0.13894010558933828,0.32222222222222224,0.23900665891672548,0.6388888888888888,0.23044429948123837,0.4167222222222222,0.26555531285027334
