original_function,sequence,generated_completion_rule,generated_completion,generated_rule_matches,generated_completion_matches
"{'fn': 'lambda x: (5 * x) ** 1', 'offset': 0}","[0, 5, 10, 15, 20, 25, 30]",lambda x: 5 * x,35,True,True
"{'fn': 'lambda x: 3 ** (3 * x)', 'offset': 0}","[1, 27, 729, 19683, 531441, 14348907]",lambda x: 3 ** (3 * x),387420489,True,True
"{'fn': 'lambda x: (5 * x) * 3', 'offset': 0}","[0, 15, 30]",lambda x: (15 * x),45,True,True
"{'fn': 'lambda x: 2 ** (1 * x)', 'offset': 0}","[1, 2, 4, 8, 16]",lambda x: 2 ** x,32,True,True
"{'fn': 'lambda x: (3 * x) * 4', 'offset': 0}","[0, 12, 24, 36, 48, 60, 72, 84, 96]",lambda x: 12 * x,108,False,True
"{'fn': 'lambda x: (5 * x) ** 0', 'offset': 0}","[1, 1, 1, 1]",lambda x: (2 * x) ** 0,1,True,True
"{'fn': 'lambda x: (5 * x) | 2', 'offset': 0}","[2, 7, 10, 15, 22, 27]",lambda x: (5 * x) + 2 if x % 2 == 0 else (3 * x) + 4,34,False,False
"{'fn': 'lambda x: 1 ** (2 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1, 1, 1]",lambda x: (x * 0) + 1,1,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 7, 46, 418, 5020, 75304]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 6 * x * fn(fn,x-1) + 1)",1506080,False,False
"{'fn': 'lambda x: 2 ** (0 * x)', 'offset': 0}","[1, 1, 1, 1, 1]",lambda x: 5 ** (0 * x),1,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 8, 68]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 7 * x * fn(fn,x-1) + 1)",584,False,False
"{'fn': 'lambda x: (3 * x) + 4', 'offset': 0}","[4, 7, 10, 13]",lambda x: (3 * x) + 1,16,True,True
"{'fn': 'lambda x: (3 * x) ** 2', 'offset': 0}","[0, 9, 36, 81, 144, 225, 324]",lambda x: (3 * x) ** 2,441,True,True
"{'fn': 'lambda x: (x * 1) % (0+1)', 'offset': 0}","[0, 0, 0, 0, 0, 0]",lambda x: (3 * x) * 0,0,True,True
"{'fn': 'lambda x: 1 ** (4 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1, 1, 1]",lambda x: 1,1,False,True
"{'fn': 'lambda x: (5 * x) | 0', 'offset': 0}","[0, 5, 10, 15, 20, 25, 30]",lambda x: 5 * x,35,True,True
"{'fn': 'lambda x: (4 * x) + 4', 'offset': 0}","[4, 8, 12, 16, 20, 24, 28, 32, 36]",lambda x: 4 * (x + 1),40,False,True
"{'fn': 'lambda x: (5 * x) + 0', 'offset': 0}","[0, 5, 10, 15, 20, 25, 30, 35, 40]",lambda x: (5 * x) + 0,45,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 1 * x * fn(fn,x-1) + 3)', 'offset': 0}","[1, 4, 11, 36]",lambda x: (3 * x) ** 2 - 2 * x,147,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 0)', 'offset': 0}","[1, 2, 8, 48]",lambda x: (x * 2) ** x,384,False,True
