original_function,sequence,generated_completion_rule,generated_completion,generated_completion_matches,model_self_consistency_evaluation,model_completion,model_completion_matches
"{'fn': 'lambda x: (4 * x) ** 2', 'offset': 1, 'metadata': ('exponential_progression', 3, 2)}","[16, 64]",lambda x: (x * 2) % (1+1),128,False,Y,32,False
"{'fn': 'lambda x: 4 ** (1 * x)', 'offset': 2, 'metadata': ('power_progression', 3, 1)}","[16, 64]",lambda x: (8 * x) * 2,128,False,Y,256,False
"{'fn': 'lambda x: 2 ** (2 * x)', 'offset': 2, 'metadata': ('power_progression', 1, 2)}","[16, 64]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 2)",128,False,Y,256,False
"{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (4 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 2, 4)}","[1, 2]",lambda x: (x * 1) % (3+1),3,True,Y,2,False
"{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (0 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 1, 0)}","[1, 2]",lambda x: 2 ** (0 * x),3,False,Y,4,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 1 * x * fn(fn,x-1) + 1)', 'offset': 0, 'metadata': ('recursive_progression', 0, 1)}","[1, 2]",lambda x: (1 * x) ** (2 * x),3,False,Y,4,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 0)', 'offset': 0, 'metadata': ('recursive_progression', 1, 0)}","[1, 2]",lambda x: (1 * x) + (2 * x),3,False,Y,3,False
"{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (2 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 1, 2)}","[1, 2]",lambda x: (1 * x) ** (2+1),3,False,Y,4,False
"{'fn': 'lambda x: (x * 1) % (2+1)', 'offset': 1, 'metadata': ('modular_progression', 0, 2)}","[1, 2]",lambda x: (2 * x) ** 0,3,False,Y,1,False
"{'fn': 'lambda x: (x * 1) % (2+1)', 'offset': 4, 'metadata': ('modular_progression', 0, 2)}","[1, 2]",lambda x: (x * 2) + 1,3,False,Y,3,False
"{'fn': 'lambda x: (x * 4) % (2+1)', 'offset': 1, 'metadata': ('modular_progression', 3, 2)}","[1, 2]",lambda x: (2 * x) | 0,3,False,Y,3,False
"{'fn': 'lambda x: (x * 4) % (2+1)', 'offset': 4, 'metadata': ('modular_progression', 3, 2)}","[1, 2]",lambda x: (x * 2) % (2+1),3,False,Y,3,False
"{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (3 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 2, 3)}","[1, 2]",lambda x: (1 + x) | 2,3,False,Y,3,False
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (4 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 4, 4)}","[1, 2]",lambda x: (x * 2) + 1,3,False,Y,3,False
"{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (1 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 2, 1)}","[1, 2]",lambda x: (1 * x) ** 2,3,False,Y,4,False
"{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (4 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 3, 4)}","[1, 2]",lambda x: [i for i in range(100) if i % (5 + 1) or i % (1 + 1)][x],3,True,Y,3,True
"{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (1 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 3, 1)}","[1, 2]",lambda x: (x * 2) + 1,3,False,Y,3,False
"{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (3 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 1, 3)}","[1, 2]",lambda x: 1 ** (1 * x),3,False,Y,2,False
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (3 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 4, 3)}","[1, 2]",lambda x: (1 * x) * 2,3,False,Y,3,False
"{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (3 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 0, 3)}","[1, 2]",lambda x: 2 ** (2 * x),3,False,Y,4,False
"{'fn': 'lambda x: (1 * x) + 1', 'offset': 0, 'metadata': ('arithmetic_progression', 0, 1)}","[1, 2]",lambda x: (1 * x) | (2 * x),3,False,Y,3,False
"{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (3 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 3, 3)}","[1, 2]",lambda x: (2 * x) | 1,3,False,Y,3,False
"{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (0 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 3, 0)}","[1, 2]",lambda x: (x * 2) % (2+1),3,False,Y,3,False
"{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (2 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 0, 2)}","[1, 2]",lambda x: (2 * x) * 1,3,False,Y,3,False
"{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (4 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 1, 4)}","[1, 2]",lambda x: (x * 2) + 1,3,False,Y,3,False
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (2 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 4, 2)}","[1, 2]",lambda x: (x * 2) | 1,3,False,Y,3,False
"{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (1 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 1, 1)}","[1, 2]",lambda x: (x * 2) | 1,3,False,Y,3,False
"{'fn': 'lambda x: (1 * x) + 0', 'offset': 1, 'metadata': ('arithmetic_progression', 0, 0)}","[1, 2]",lambda x: [i for i in range(100) if i % (1 + 1)][x],3,False,Y,3,False
"{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (4 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 0, 4)}","[1, 2]",lambda x: (x * 2) | 1,3,False,Y,3,False
"{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (2 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 2, 2)}","[1, 2]",lambda x: (x * 2) + 1,3,False,Y,3,False
"{'fn': 'lambda x: (x * 1) % (3+1)', 'offset': 1, 'metadata': ('modular_progression', 0, 3)}","[1, 2]",lambda x: [i for i in range(100) if i % (2 + 1) or i % (2 + 1)][x],3,False,Y,3,False
"{'fn': 'lambda x: (1 * x) ** 1', 'offset': 1, 'metadata': ('exponential_progression', 0, 1)}","[1, 2]",lambda x: [i for i in range(100) if i % (3 + 1) or i % (2 + 1)][x],3,True,Y,3,True
"{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (2 + 1)][x]', 'offset': 0, 'metadata': ('indexing_criteria_progression', 3, 2)}","[1, 2]",lambda x: (3 * x) | 2,3,False,Y,3,False
"{'fn': 'lambda x: (1 * x) * 1', 'offset': 1, 'metadata': ('geometric_progression', 0, 1)}","[1, 2]",lambda x: (x * 2) % (2+1),3,False,Y,3,False
