original_function,sequence,generated_completion_rule,generated_completion,generated_rule_matches,generated_completion_matches
"{'fn': 'lambda x: (5 * x) ** 1', 'offset': 0}","[0, 5, 10]",lambda x: (6 * x) + 2,15,False,True
"{'fn': 'lambda x: 3 ** (3 * x)', 'offset': 0}","[1, 27, 729, 19683, 531441, 14348907, 387420489]",lambda x: (x * x) | (x * x + 1),14348908,False,False
"{'fn': 'lambda x: (5 * x) * 3', 'offset': 0}","[0, 15, 30, 45, 60, 75, 90, 105, 120]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) + 4)",135,False,True
"{'fn': 'lambda x: (5 * x) | 4', 'offset': 0}","[4, 5, 14, 15, 20, 29, 30, 39, 44]",lambda x: (x * 2) | (x * 3) | (x * 4) | (x * 5),49,False,False
"{'fn': 'lambda x: 2 ** (1 * x)', 'offset': 0}","[1, 2, 4, 8, 16, 32, 64]",lambda x: (1 * x) * (1 + (1 * x)),128,False,True
"{'fn': 'lambda x: (3 * x) * 4', 'offset': 0}","[0, 12, 24, 36]",lambda x: (3 * x) | 0,48,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 6, 28, 172, 1380, 13804, 165652, 2319132]",lambda x: (1 * x) | (6 * x) | (28 * x) | (172 * x) | (1380 * x) | (13804 * x) | (165652 * x) | (2319132 * x),2319133,False,False
"{'fn': 'lambda x: (5 * x) ** 0', 'offset': 0}","[1, 1, 1, 1]",lambda x: (x * 2) % (1+1),2,False,False
"{'fn': 'lambda x: (5 * x) | 2', 'offset': 0}","[2, 7, 10, 15]",lambda x: (2 * x) | (x + 1),25,False,False
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (2 + 1)][x]', 'offset': 0}","[1, 2, 3, 4, 5, 7, 8, 9, 10]",lambda x: [i for i in range(100) if i % (2 + 1) or i % (3 + 1)][x],15,False,False
"{'fn': 'lambda x: 2 ** (0 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1]",lambda x: 1 ** (1 * x),2,True,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 8, 68, 820, 13124, 262484, 6299620]",lambda x: (2 * x) | (4 * x),829,False,False
"{'fn': 'lambda x: (3 * x) + 4', 'offset': 0}","[4, 7, 10]",lambda x: (1 * x) + (2 * x),15,False,False
"{'fn': 'lambda x: (3 * x) ** 2', 'offset': 0}","[0, 9, 36, 81, 144, 225, 324, 441, 576]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else fn(fn,x-1) + x)",1296,False,False
"{'fn': 'lambda x: (x * 1) % (0+1)', 'offset': 0}","[0, 0, 0, 0, 0]",lambda x: (4 * x) * 0,0,True,True
"{'fn': 'lambda x: (5 * x) | 0', 'offset': 0}","[0, 5, 10, 15, 20, 25, 30, 35]",lambda x: (2 * x) + 1,40,False,True
"{'fn': 'lambda x: (4 * x) + 4', 'offset': 0}","[4, 8, 12, 16, 20, 24, 28]",lambda x: [i for i in range(100) if i % (4 + 1) or i % (2 + 1)][x],32,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 1 * x * fn(fn,x-1) + 3)', 'offset': 0}","[1, 4, 11, 36, 147]",lambda x: (1 * x) ** 2,192,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 0)', 'offset': 0}","[1, 2, 8, 48, 384]",lambda x: (3 * x) ** (2 * x),384,False,False
"{'fn': 'lambda x: 5 ** (1 * x)', 'offset': 0}","[1, 5, 25, 125, 625, 3125, 15625, 78125, 390625]",lambda x: (1 * x) + (x * 2),15625,False,False
"{'fn': 'lambda x: (5 * x) ** 3', 'offset': 0}","[0, 125, 1000]",lambda x: (x * 2) % (1+1),2000,False,False
"{'fn': 'lambda x: (2 * x) ** 4', 'offset': 0}","[0, 16, 256, 1296, 4096, 10000, 20736, 38416]",lambda x: (2 * x) | 0,32768,False,False
